name=BMP380 Barometer vendor=Bosch current_time_ms=1562661887298
measured_at recorded_at accuracy value
185888894426632 185888896649271 3 1012.9677
185888934428195 185888936140160 3 1012.9544
185888974433143 185888976262404 3 1012.9929
185889014427153 185889016519491 3 1012.95435
185889054427153 185889056912724 3 1012.96246
185889094428247 185889097778197 3 1012.99005
185889134441893 185889138114763 3 1012.975
185889174464445 185889176125028 3 1012.97235
185889214461320 185889216236178 3 1012.9695
185889254467309 185889256273109 3 1012.97205
185889294466215 185889296006342 3 1012.96173
185889334466007 185889336173637 3 1012.975
185889374468559 185889376174475 3 1012.9747
185889414466788 185889416245312 3 1012.97205
185889454462049 185889456032243 3 1012.9695
185889494426424 185889495973601 3 1012.97205
185889534424340 185889536152564 3 1012.9901
185889574427518 185889577096109 3 1012.95654
185889614469080 185889617024134 3 1012.95154
185889654423924 185889656204815 3 1012.9285
185889694424236 185889698475861 3 1012.9845
185889734452465 185889736007479 3 1013.00555
185889774453976 185889775939567 3 1012.99475
185889814459445 185889816723269 3 1012.9974
185889854425590 185889856478533 3 1012.962
185889894427518 185889895899995 3 1012.94147
185889934428090 185889935867447 3 1012.9918
185889974428924 185889977108441 3 1012.97644
185890014426215 185890017299174 3 1012.95435
185890054450382 185890057301365 3 1012.95917
185890094450643 185890097445276 3 1012.9716
185890134448559 185890136558300 3 1012.97205
185890174450903 185890176303461 3 1012.98755
185890214451684 185890216366329 3 1012.98926
185890254449653 185890256413833 3 1012.9916
185890294452986 185890296474671 3 1012.97894
185890334447986 185890336376966 3 1013.0072
185890374425382 185890376364731 3 1012.96643
185890414429809 185890415863589 3 1013.01996
185890454424705 185890456345416 3 1013.0226
185890494449809 185890497103232 3 1013.0302
185890534426215 185890537032299 3 1012.9818
185890574428351 185890577025480 3 1013.0022
185890614425747 185890615900796 3 1012.98926
185890654427570 185890657272727 3 1012.98926
185890694426997 185890696956638 3 1012.98895
185890734426736 185890736885391 3 1013.0171
185890774431372 185890778949198 3 1012.97894
185890814427830 185890816284254 3 1012.97894
185890854433038 185890857438424 3 1012.95264
185890894426163 185890897809158 3 1012.9736
185890934452257 185890938062287 3 1012.9733
185890974464184 185890976458592 3 1012.9427
185891014462101 185891015950263 3 1012.9983
185891054450643 185891055791882 3 1013.00385
185891094454288 185891095875948 3 1013.00964
185891134463872 185891135839702 3 1013.0061
185891174465226 185891175835123 3 1012.9859
185891214424028 185891215802002 3 1012.9681
185891254426424 185891255723620 3 1012.95264
185891294424809 185891295836385 3 1013.0034
185891334436476 185891336485816 3 1013.0096
185891374475903 185891376497278 3 1012.97766
185891414451163 185891416010824 3 1012.9958
185891454456424 185891456761140 3 1013.01636
185891494456632 185891496261665 3 1012.9726
185891534450382 185891537040523 3 1012.98285
185891574455018 185891576298861 3 1012.97064
185891614449080 185891615834125 3 1012.9879
185891654424549 185891655797983 3 1012.97107
185891694425851 185891695744237 3 1012.9854
185891734432518 185891736256793 3 1012.98285
185891774442882 185891776626589 3 1012.97736
185891814454028 185891816513468 3 1012.9441
185891854424132 185891858830868 3 1012.98016
185891894450434 185891896522955 3 1012.9523
185891934454809 185891936275771 3 1012.9397
185891974457674 185891976265723 3 1012.9575
185892014451163 185892017166196 3 1012.9595
185892054449288 185892056249742 3 1012.9595
185892094425590 185892096214641 3 1012.975
185892134426788 185892135755635 3 1012.93896
185892174444913 185892176072358 3 1012.98
185892214441528 185892217394133 3 1012.9645
185892254426059 185892256363772 3 1012.95667
185892294426632 185892296018359 3 1012.96924
185892334424549 185892336045395 3 1012.9541
185892374425330 185892376609930 3 1012.9589
