name=BMP380 Barometer vendor=Bosch current_time_ms=1561445543540
measured_at recorded_at accuracy value
281254747005604 281254749195142 3 1007.18884
281254787006229 281254814874732 3 1007.1427
281254827003521 281254829332337 3 1007.1784
281254867006333 281254868936195 3 1007.1579
281254907002063 281254908516564 3 1007.1609
281254947002011 281254948752401 3 1007.1274
281254987055917 281254988424853 3 1007.1195
281255027032011 281255029054180 3 1007.12964
281255067006386 281255076889133 3 1007.1527
281255107038261 281255108552469 3 1007.1807
281255147035344 281255148330702 3 1007.1653
281255187034615 281255188321487 3 1007.1883
281255227003104 281255228182741 3 1007.15247
281255267002167 281255268379777 3 1007.14996
281255307034823 281255309039520 3 1007.14435
281255347034094 281255348815878 3 1007.14185
281255387028625 281255388381716 3 1007.13196
281255427043938 281255428528751 3 1007.12683
281255467036906 281255468273807 3 1007.1676
281255507029667 281255508568134 3 1007.18286
281255547039250 281255548523711 3 1007.1675
281255587031229 281255588541319 3 1007.1212
281255627004146 281255628325698 3 1007.12634
281255667006229 281255668415702 3 1007.1167
281255707003833 281255711572008 3 1007.13885
281255747036125 281255749247845 3 1007.12103
281255787036125 281255788844308 3 1007.14923
281255827038781 281255828588791 3 1007.1696
281255867035917 281255868801503 3 1007.13904
281255907041854 281255908998330 3 1007.14124
281255947042896 281255948992397 3 1007.162
281255987035136 281255989128911 3 1007.1466
281256027035865 281256028627144 3 1007.1361
281256067035917 281256068702773 3 1007.1416
281256107007115 281256108952256 3 1007.1491
281256147005761 281256149579448 3 1007.13837
281256187040917 281256190927317 3 1007.1207
281256227037688 281256229563987 3 1007.172
281256267035656 281256269344408 3 1007.1458
281256307036125 281256308811235 3 1007.1565
281256347033573 281256349113843 3 1007.1664
281256387032219 281256389692180 3 1007.13873
281256427039563 281256428745934 3 1007.1561
281256467038261 281256468753178 3 1007.1791
281256507045292 281256509403442 3 1007.2303
281256547020136 281256548424435 3 1007.2149
281256587003990 281256588531262 3 1007.1664
281256627046073 281256629514131 3 1007.1257
281256667036646 281256669450854 3 1007.1254
281256707036438 281256709623879 3 1007.1765
281256747034667 281256749176487 3 1007.1766
281256787047948 281256788650553 3 1007.17334
281256827004563 281256828793265 3 1007.15857
281256867004146 281256868732853 3 1007.1484
281256907005761 281256909093430 3 1007.1662
281256947006750 281256948938382 3 1007.17114
281256987007011 281256988850209 3 1007.181
281257027005865 281257029344483 3 1007.14
281257067002167 281257069447769 3 1007.163
281257107003000 281257110250481 3 1007.1858
281257147004042 281257148720797 3 1007.1583
281257187052011 281257188520645 3 1007.1609
281257227039302 281257228558566 3 1007.1707
281257267030969 281257269086018 3 1007.158
281257307036698 281257309151022 3 1007.12964
281257347028625 281257348521598 3 1007.1527
281257387000656 281257388238373 3 1007.16766
281257427004823 281257428437544 3 1007.1424
281257467003729 281257469065100 3 1007.15
281257507025344 281257509927708 3 1007.1779
281257547039563 281257549647087 3 1007.19073
281257587038261 281257588331831 3 1007.16254
281257627041646 281257628437460 3 1007.1651
281257667037167 281257668564235 3 1007.1547
281257707036646 281257708463770 3 1007.1265
281257747036958 281257748659086 3 1007.1085
281257787036386 281257788371330 3 1007.1413
281257827033365 281257829069719 3 1007.1751
281257867001386 281257868329515 3 1007.1769
281257907004354 281257908376394 3 1007.1665
281257947013469 281257949083325 3 1007.1573
281257987037740 281257989716246 3 1007.1515
281258027042167 281258028811770 3 1007.1419
281258067038261 281258068884691 3 1007.13214
281258107036906 281258108622299 3 1007.13873
281258147024719 281258148743501 3 1007.1846
281258187023729 281258189056838 3 100
