name=GpsLocations vendor=Google current_time_ms=1561445543546
recordedAtMs deviceDirectionDegrees deviceDirectionDegrees northDirectionRadians northDirectionDegrees
 281253000 130.24219984881847 130.24219984881847
 281253019 130.29208755051627 130.29208755051627
 281253033 130.41978476723887 130.41978476723887
 281253052 130.55283685227067 130.55283685227067
 281253066 130.5975472705776 130.5975472705776
 281253085 130.64468923622906 130.64468923622906
 281253099 130.6520248593976 130.6520248593976
 281253118 130.71176169387854 130.71176169387854
 281253132 130.74807097950634 130.74807097950634
 281253151 130.76449075427104 130.76449075427104
 281253165 130.76040630114738 130.76040630114738
 281253184 130.71965739255904 130.71965739255904
 281253198 130.70068312704478 130.70068312704478
 281253217 130.73286697841388 130.73286697841388
 281253231 130.78963951079504 130.78963951079504
 281253250 130.93143423796448 130.93143423796448
 281253264 131.1280207426558 131.1280207426558
 281253283 131.35956415551925 131.35956415551925
 281253297 131.47386054109023 131.47386054109023
 281253316 131.63607753387805 131.63607753387805
 281253330 131.67328840447624 131.67328840447624
 281253349 131.7287495405368 131.7287495405368
 281253363 131.74292901325373 131.74292901325373
 281253382 131.7250612383849 131.7250612383849
 281253396 131.55552228280692 131.55552228280692
 281253415 131.174711915822 131.174711915822
 281253429 130.94986208834518 130.94986208834518
 281253448 130.5096290755812 130.5096290755812
 281253462 130.3015541927059 130.3015541927059
 281253480 130.0533860994027 130.0533860994027
 281253495 129.9048021641982 129.9048021641982
 281253514 129.79816925087596 129.79816925087596
 281253528 129.75494781380814 129.75494781380814
 281253547 129.72500426448676 129.72500426448676
 281253561 129.7169992827795 129.7169992827795
 281253580 129.72695769858944 129.72695769858944
 281253594 129.7194718112591 129.7194718112591
 281253613 129.86031031194477 129.86031031194477
 281253627 130.05047643881625 130.05047643881625
 281253646 130.1715073909089 130.1715073909089
 281253660 130.1637619563901 130.1637619563901
 281253679 130.01841553085217 130.01841553085217
 281253693 129.91547091968175 129.91547091968175
 281253712 129.7456860772936 129.7456860772936
 281253726 129.65159339128752 129.65159339128752
 281253745 129.56745912109125 129.56745912109125
 281253759 129.5497552707626 129.5497552707626
 281253778 129.55822470533343 129.55822470533343
 281253792 129.55677670522937 129.55677670522937
 281253811 129.50941617352453 129.50941617352453
 281253825 129.44962469753023 129.44962469753023
 281253844 129.2358261161305 129.2358261161305
 281253858 128.94230556673836 128.94230556673836
 281253877 128.8331454834232 128.8331454834232
 281253891 128.62863595929468 128.62863595929468
 281253910 128.50607504482798 128.50607504482798
 281253924 128.46946523087672 128.46946523087672
 281253943 128.4120506607136 128.4120506607136
 281253957 128.40511118851686 128.40511118851686
 281253976 128.3510707318037 128.3510707318037
 281253990 128.36463548749532 128.36463548749532
 281254009 128.40009782966604 128.40009782966604
 281254023 128.3734464315247 128.3734464315247
 281254042 128.32929608872973 128.32929608872973
 281254056 128.31443359709579 128.31443359709579
 281254075 128.30548604928305 128.30548604928305
 281254089 128.30116936972763 128.30116936972763
 281254108 128.27903955681677 128.27903955681677
 281254122 128.28235902875338 128.28235902875338
 281254141 128.3076307286824 128.3076307286824
 281254155 128.37459390330525 128.37459390330525
 281254174 128.45060024838915 128.45060024838915
 281254188 128.51653889463648 128.51653889463648
 281254207 128.64042486580217 128.64042486580217
 281254221 128.69972456817618 128.69972456817618
 281254240 128.8157694821747 128.8157694821747
 281254254 128.87541069400726 128.87541069400726
 281254273 128.95946300193344 128.95946300193344
 281254287 129.00313523148645 129.00313523148645
 281254306 129.14100943007236 129.14100943007236
 281254320 129.2187916243405 129.2187916243405
 281254339 129.41096582682792 129.41096582682792
 281254353 129.67775301580866 129.67775301580866
 281254372 129.7812303817343 129.7812303817343
 281254386 130.05527123161357 130.05527123161357
 281254405 130.38049751913292 130.38049751913292
 281254419 130.47640703545824 130.47640703545824
 281254437 130.78839641636608 130.78839641636608
 281254452 130.9652983158694 130.9652983158694
 281254471 131.3871307990094 131.3871307990094
 281254485 131.92846427186794 131.92846427186794
 281254503 132.11655402123176 132.11655402123176
 281254518 132.58144401689947 132.58144401689947
 281254537 132.97952110210616 132.97952110210616
 281254551 133.11122080968232 133.11122080968232
 281254570 133.26413508482062 133.26413508482062
 281254584 133.2945567473838 133.2945567473838
 281254603 133.28581410524623 133.28581410524623
 281254617 133.23886338489154 133.23886338489154
 281254636 133.2101082884858 133.2101082884858
 281254650 133.18847024919523 133.18847024919523
 281254669 133.34548263783546 133.34548263783546
 281254683 133.4788625719475 133.4788625719475
 281254701 133.8694810905805 133.8694810905805
 281254716 134.12789446763873 134.12789446763873
 281254735 134.7050591128832 134.7050591128832
 281254749 134.84315187752247 134.84315187752247
 281254768 135.47025886597805 135.47025886597805
 281254782 135.83780500559476 135.83780500559476
 281254800 135.8380508924049 135.8380508924049
 281254815 136.14632465040427 136.14632465040427
 281254833 136.20684012645057 136.20684012645057
 281254848 136.23354616610527 136.23354616610527
 281254867 136.1073515910001 136.1073515910001
 281254881 135.71497088356125 135.71497088356125
 281254899 135.1000352922067 135.1000352922067
 281254914 134.73834945489784 134.73834945489784
 281254933 133.94622509609474 133.94622509609474
 281254947 133.51099178180323 133.51099178180323
 281254965 132.63286168097136 132.63286168097136
 281254980 132.00417008862837 132.00417008862837
 281254998 131.57731058625927 131.57731058625927
 281255013 131.22622520254225 131.22622520254225
 281255032 131.08485394710135 131.08485394710135
 281255046 131.05594858653382 131.05594858653382
 281255065 130.90136774523808 130.90136774523808
 281255079 130.71281354301072 130.71281354301072
 281255097 130.06749727022793 130.06749727022793
 281255112 129.39369910860614 129.39369910860614
 281255131 128.52722131049836 128.52722131049836
 281255145 127.96799274201436 127.96799274201436
 281255164 127.18032166655019 127.18032166655019
 281255178 126.79998941280718 126.79998941280718
 281255196 125.97346822134392 125.97346822134392
 281255211 125.23967367805278 125.23967367805278
 281255230 124.16292167615694 124.16292167615694
 281255244 123.3323023711917 123.3323023711917
 281255263 122.54729506950378 122.54729506950378
 281255277 121.798528751552 121.798528751552
 281255296 120.90412914011716 120.90412914011716
 281255310 120.49486420505002 120.49486420505002
