name=BMP380 Barometer vendor=Bosch current_time_ms=1561446802429
measured_at recorded_at accuracy value
282511713584275 282511715052494 3 1007.06946
282511753618441 282511754939165 3 1007.0442
282511793584275 282511794911096 3 1007.0342
282511833585160 282511835027819 3 1006.9982
282511873616618 282511875498812 3 1007.12006
282511913603389 282511914752670 3 1007.04895
282511953605993 282511954693143 3 1007.04895
282511993604900 282511994770699 3 1007.0431
282512033605160 282512034771224 3 1007.0637
282512073605941 282512074829665 3 1007.0354
282512113605420 282512114706961 3 1006.99506
282512153612295 282512155691236 3 1007.0252
282512193594118 282512195187073 3 1007.04846
282512233586410 282512235333171 3 1007.09717
282512273583910 282512275742342 3 1007.10425
282512313604379 282512315982241 3 1007.07605
282512353606254 282512355545006 3 1007.0376
282512393604118 282512394981468 3 1007.0222
282512433605420 282512435011889 3 1007.0556
282512473617400 282512475511528 3 1007.0663
282512513603077 282512514995855 3 1007.01196
282512553605420 282512556288984 3 1006.9662
282512593625941 282512594953311 3 1007.0144
282512633605681 282512635506805 3 1007.05035
282512673584847 282512676719257 3 1007.053
282512713592712 282512714828271 3 1007.05817
282512753615577 282512756807077 3 1007.058
282512793611410 282512795586925 3 1007.04236
282512833606931 282512835185054 3 1007.01166
282512873606462 282512875144953 3 1007.02704
282512913614535 282512915045687 3 1007.04987
282512953617920 282512955048399 3 1007.045
282512993618181 282512995380018 3 1007.0167
282513033614587 282513035175282 3 1007.0113
282513073585889 282513075308255 3 1007.0544
282513113585056 282513114952738 3 1007.0417
282513153596410 282513155577846 3 1007.0471
282513193603337 282513196388110 3 1007.05457
282513233605733 282513236182802 3 1007.05963
282513273617920 282513275129993 3 1007.01355
282513313616618 282513315232654 3 1007.05176
282513353618389 282513355069949 3 1007.0392
282513393617087 282513395209172 3 1007.0721
282513433620785 282513435119749 3 1007.1029
282513473623129 282513475152409 3 1007.1031
282513513618754 282513515141319 3 1007.1208
282513553585525 282513555159136 3 1007.1006
282513593583806 282513594840025 3 1007.0516
282513633583181 282513635528779 3 1006.99036
282513673584431 282513676061908 3 1006.9977
282513713586566 282513761564313 3 1006.9954
282513753583910 282513761577542 3 1007.01025
282513793586097 282513794771868 3 1007.0287
282513833593129 282513835142237 3 1007.059
282513873595629 282513875531511 3 1007.02826
282513913584275 282513914883547 3 1007.0233
282513953589743 282513955058811 3 1007.01025
282513993584952 282514000622253 3 1007.04126
282514033585160 282514036535850 3 1007.04376
282514073616879 282514076826115 3 1007.1079
282514113584535 282514116894765 3 1007.0668
282514153628285 282514155273987 3 1007.0077
282514193621514 282514195377116 3 1006.98206
282514233606722 282514235245922 3 1007.0097
282514273605160 282514274903895 3 1007.018
282514313617920 282514315099368 3 1007.0481
282514353618441 282514355170101 3 1007.0789
282514393610889 282514395417553 3 1007.0912
282514433586150 282514435349848 3 1007.0514
282514473583806 282514474870113 3 1007.0197
282514513608806 282514515516211 3 1007.0174
