name=AzimuthSensor vendor=Kyle current_time_ms=1561445543718
m_t m_x m_y m_z a_t a_x a_y a_z g_t g_x g_y g_z direction_degrees
281253415 0 -52.65629 -79.62974 -138.77151 0 -0.12654291 2.1407273 9.593663 0 -0.07075578 -0.3179384 -0.9859326 131.174711915822
281253448 0 -52.273235 -79.22656 -139.00058 0 -0.12799047 2.2045739 9.592351 0 -0.06008003 -0.30620897 -0.9472927 130.5096290755812
281253480 0 -51.89113 -78.83586 -139.14865 0 -0.11960748 2.2531843 9.591932 0 -0.04678688 -0.2842265 -0.9037782 130.0533860994027
281253514 0 -51.39352 -78.334915 -139.39789 0 -0.08528595 2.2968159 9.596974 0 -0.028361904 -0.26011655 -0.86838996 129.79816925087596
281253547 0 -51.014225 -77.986176 -139.50552 0 -0.061174367 2.3168163 9.591632 0 -0.009622715 -0.23294958 -0.8269442 129.72500426448676
281253580 0 -50.655888 -77.72631 -139.61342 0 -0.034544963 2.331165 9.568578 0 0.007098477 -0.20543706 -0.7620138 129.72695769858944
281253613 0 -50.226814 -77.39165 -139.75839 0 -0.017249431 2.3298 9.566985 0 0.0045642583 -0.19173273 -0.7048799 129.86031031194477
281253646 0 -49.92977 -77.12677 -139.84634 0 -0.02189887 2.3019779 9.60067 0 -0.0081460085 -0.18698949 -0.65179956 130.1715073909089
281253679 0 -49.64954 -76.84719 -139.96335 0 -0.03879155 2.2960832 9.581971 0 -0.004730419 -0.18358685 -0.61223686 130.01841553085217
281253712 0 -49.39192 -76.626976 -140.0355 0 -0.036265574 2.3097878 9.526034 0 0.022454275 -0.17107368 -0.5734994 129.7456860772936
281253745 0 -49.070946 -76.357475 -140.11186 0 -0.023164071 2.327079 9.4927025 0 0.03004208 -0.15927932 -0.5495421 129.56745912109125
281253778 0 -48.836166 -76.149445 -140.16226 0 -0.015180878 2.3346884 9.502253 0 0.025145909 -0.14206618 -0.5253705 129.55822470533343
281253811 0 -48.617596 -75.9814 -140.20537 0 -0.03992725 2.3257527 9.51719 0 0.018440759 -0.1219857 -0.49996182 129.50941617352453
281253844 0 -48.301567 -75.744965 -140.28416 0 -0.086822905 2.3196387 9.519513 0 0.011287404 -0.097276725 -0.46521443 129.2358261161305
281253877 0 -48.068813 -75.61452 -140.31053 0 -0.13608019 2.3231997 9.504522 0 0.0081469035 -0.08774587 -0.44072545 128.8331454834232
281253910 0 -47.82994 -75.43117 -140.34508 0 -0.16035827 2.334051 9.490667 0 0.010101939 -0.08065221 -0.41494897 128.50607504482798
281253943 0 -47.601032 -75.25366 -140.33545 0 -0.15258712 2.350329 9.49648 0 0.013243811 -0.07138574 -0.38833007 128.4120506607136
281253976 0 -47.32072 -75.056046 -140.31842 0 -0.14198288 2.3677068 9.5055485 0 0.011515348 -0.06268785 -0.35521197 128.3510707318037
281254009 0 -47.1032 -74.92255 -140.2877 0 -0.12878007 2.3782294 9.516345 0 0.011808287 -0.057800956 -0.3324825 128.40009782966604
281254042 0 -46.944225 -74.83486 -140.24854 0 -0.1259767 2.3905787 9.518925 0 0.010198242 -0.054935895 -0.3105535 128.32929608872973
281254075 0 -46.766792 -74.72378 -140.22041 0 -0.12407208 2.3957818 9.515752 0 0.009267867 -0.057245687 -0.2901201 128.30548604928305
281254108 0 -46.58604 -74.58048 -140.20303 0 -0.11875901 2.4034543 9.520265 0 0.016387895 -0.060782913 -0.2661084 128.27903955681677
281254141 0 -46.467888 -74.505455 -140.17104 0 -0.10159346 2.411822 9.519136 0 0.01824472 -0.061228957 -0.25347468 128.3076307286824
281254174 0 -46.36067 -74.44029 -140.186 0 -0.081110716 2.4113145 9.499277 0 0.013946576 -0.060883477 -0.24487287 128.45060024838915
281254207 0 -46.219685 -74.34024 -140.19257 0 -0.056832876 2.4066925 9.478425 0 0.008276848 -0.063455746 -0.23833911 128.64042486580217
281254240 0 -46.090218 -74.2593 -140.2082 0 -0.031327218 2.4062436 9.4622345 0 0.0099588325 -0.063004754 -0.23683028 128.8157694821747
281254273 0 -45.977837 -74.13145 -140.20416 0 0.0054684766 2.411535 9.439068 0 0.006768585 -0.06304982 -0.23952907 128.95946300193344
281254306 0 -45.842445 -73.96508 -140.2601 0 0.04104701 2.411424 9.417368 0 -0.0027834484 -0.06640757 -0.24786663 129.14100943007236
281254339 0 -45.743916 -73.83582 -140.28705 0 0.08331936 2.411028 9.399334 0 -0.014108534 -0.07135061 -0.26612914 129.41096582682792
281254372 0 -45.650833 -73.678696 -140.34364 0 0.12907524 2.4053624 9.390214 0 -0.022101711 -0.07540639 -0.28590322 129.7812303817343
281254405 0 -45.559395 -73.51534 -140.40889 0 0.19741775 2.399002 9.384176 0 -0.03288204 -0.08107233 -0.31106627 130.38049751913292
281254437 0 -45.43978 -73.239655 -140.48074 0 0.25556472 2.4003053 9.391988 0 -0.045712024 -0.0910143 -0.3419222 130.78839641636608
